_c0,userId,gender,n_pages,submit_downgrade,thumbs_down,home,downgrade,roll_advert,cancellation,about,submit_registration,cancel,login,register,add_playlist,nextsong,thumbs_up,error,submit_upgrade,total_length,label
62,1720443,0,4197,2,39,156,29,68,0,11,0,0,0,0,105,3396,174,4,3,846776,1
63,1024680,0,2382,1,22,82,13,38,0,6,0,0,0,0,58,1941,120,2,1,483408,1
64,1365300,0,4197,2,27,153,38,45,1,6,0,1,0,0,94,3482,175,4,3,876963,1
65,1225305,1,455,0,7,20,0,34,1,4,0,1,0,0,10,341,16,0,0,86118,0
66,1891481,1,1102,0,11,46,4,28,0,2,0,0,0,0,24,882,46,1,1,220348,0
67,1453239,1,140,0,0,3,0,8,0,0,0,0,0,0,2,111,11,0,0,27699,0
68,1613569,1,5021,0,44,170,46,2,1,7,0,1,0,0,117,4206,225,4,1,1051257,0
69,1937373,1,9697,1,83,345,93,30,0,16,0,0,0,0,216,8152,417,15,2,2023183,1
70,1196855,1,1189,0,10,31,9,9,1,4,0,1,0,0,33,995,49,3,1,244591,0
71,1720473,0,4393,0,44,144,31,4,0,14,0,0,0,0,103,3706,172,6,0,927379,0
72,1999088,1,3377,0,26,137,27,56,0,8,0,0,0,0,74,2744,149,1,1,676292,0
73,1604861,0,10428,2,83,346,88,60,0,29,0,0,0,0,262,8727,430,8,2,2167326,1
74,1928390,1,1448,0,11,56,10,19,0,3,0,0,0,0,40,1171,60,2,1,291516,0
75,1960656,0,1582,0,12,52,12,27,0,3,0,0,0,0,29,1303,73,4,1,322645,0
76,1210377,1,4841,0,50,164,45,11,0,10,0,0,0,0,123,4052,209,3,1,1011976,0
77,1928524,0,307,0,1,11,3,2,1,0,0,1,0,0,7,251,19,0,1,58732,0
78,1634275,1,1080,0,8,34,13,1,1,0,0,1,0,0,24,899,47,1,0,221161,0
79,1599866,0,1099,0,9,42,10,22,0,2,0,0,0,0,21,907,36,0,1,221640,0
80,1288432,0,1112,1,11,51,6,16,0,1,0,0,0,0,33,871,46,1,1,219409,1
81,1170801,1,1699,0,11,60,17,13,1,3,0,1,0,0,44,1405,81,1,1,352493,0
82,1775655,1,2708,1,25,86,26,1,0,13,0,0,0,0,61,2305,105,3,2,567761,1
83,1418545,0,3682,1,24,133,45,4,1,9,0,1,0,0,95,3074,153,6,1,755598,1
84,1576500,1,1972,1,10,73,8,15,0,3,0,0,0,0,57,1644,80,0,1,413033,1
85,1474649,0,1477,1,20,49,20,7,0,2,0,0,0,0,31,1240,52,1,1,308805,1
86,1687380,1,2204,1,25,64,22,4,0,3,0,0,0,0,57,1842,115,1,1,454462,1
87,1102114,1,2045,2,19,75,16,27,0,2,0,0,0,0,47,1666,79,5,2,419116,1
88,1154401,1,759,0,3,23,4,16,0,1,0,0,0,0,22,620,26,1,1,154389,0
89,1116108,0,2289,0,12,82,22,24,1,6,0,1,0,0,55,1900,98,2,1,477238,0
90,1309182,0,118,0,1,4,0,11,0,1,0,0,0,0,2,83,3,0,0,21125,0
91,1285700,1,2980,0,30,95,24,23,0,4,0,0,0,0,59,2502,121,2,1,627352,0
92,1525134,0,6581,3,52,240,60,36,0,11,0,0,0,0,145,5533,265,4,3,1379245,1
93,1784713,1,486,0,3,14,3,1,1,1,0,1,0,0,14,400,23,0,0,96632,0
94,1434725,1,3505,0,24,113,21,31,0,9,0,0,0,0,86,2912,151,4,1,725665,0
95,1866153,1,5077,1,42,191,46,57,0,10,0,0,0,0,122,4131,218,5,2,1030251,1
96,1758330,0,890,1,4,28,6,8,0,1,0,0,0,0,21,737,47,1,1,181179,1
97,1267908,0,1925,0,16,64,10,48,0,0,0,0,0,0,49,1546,105,2,1,376311,0
98,1918963,0,3418,0,30,110,25,1,0,3,0,0,0,0,71,2908,143,5,0,716428,0
99,1406232,1,726,0,4,35,6,0,1,0,0,1,0,0,11,603,30,0,0,150608,0
100,1243875,1,2383,0,20,77,22,1,1,2,0,1,0,0,59,2030,97,1,0,506423,0
101,1955238,1,4144,0,34,155,42,9,0,9,0,0,0,0,105,3436,160,5,1,852394,0
102,1367676,1,5922,1,48,222,45,61,0,9,0,0,0,0,152,4866,265,7,2,1204949,1
103,1248852,1,998,0,7,38,3,23,0,1,0,0,0,0,27,812,39,2,1,204462,0
104,1082829,0,2218,1,19,76,12,21,1,6,0,1,0,0,60,1843,105,3,1,457177,1
105,1205304,0,2054,3,18,84,10,94,0,2,0,0,0,0,48,1626,66,3,4,396901,1
106,1701527,0,4008,1,38,163,12,110,1,5,0,1,0,0,89,3265,155,1,2,820151,1
107,1322496,0,7229,1,60,264,63,37,1,21,0,1,0,0,182,6002,312,8,2,1496474,1
108,1563727,0,2737,1,23,106,27,54,0,6,0,0,0,0,76,2226,104,4,1,561788,1
109,1006092,1,2660,2,25,92,16,19,0,2,0,0,0,0,58,2227,104,2,2,549025,1
110,1242732,0,264,0,1,17,0,12,1,1,0,1,0,0,6,190,11,0,0,47456,0
111,1826142,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,221,0
112,1104321,0,1623,0,11,59,21,9,0,4,0,0,0,0,41,1360,57,3,1,338553,0
113,1838590,0,2889,2,20,102,24,33,1,5,0,1,0,0,65,2404,118,2,2,601379,1
114,1197541,0,921,0,7,18,10,0,0,0,0,0,0,0,15,799,38,1,0,198386,0
115,1316761,0,1065,1,8,45,2,43,0,1,0,0,0,0,21,850,50,0,1,210120,1
116,1263988,1,1682,1,13,54,14,21,0,0,0,0,0,0,33,1391,70,3,1,349487,1
117,1093994,1,2414,2,18,74,13,33,0,2,0,0,0,0,85,1983,95,3,3,502693,1
118,1602030,0,1465,1,7,52,8,42,0,5,0,0,0,0,32,1188,62,1,2,288426,1
119,1535410,0,196,0,1,10,0,13,0,0,0,0,0,0,3,147,13,0,0,35859,0
120,1809650,1,4141,1,38,156,38,7,0,10,0,0,0,0,93,3435,187,5,1,853293,1
121,1382223,0,504,1,2,22,5,17,1,0,0,1,0,0,11,396,27,0,1,98853,1
122,1833842,0,153,0,1,4,1,0,1,1,0,1,0,0,2,134,6,0,0,31533,0
123,1315609,0,472,1,1,28,2,16,0,0,0,0,0,0,12,356,20,1,0,90158,1
124,1852150,1,6177,0,46,198,68,8,0,11,0,0,0,0,141,5200,262,14,1,1283160,0
125,1877968,0,767,1,6,29,5,16,1,0,0,1,0,0,21,619,31,1,1,152819,1
126,1423840,0,968,1,8,56,2,18,1,3,0,1,0,0,18,778,32,0,2,191552,1
127,1908470,0,1684,0,11,72,19,17,0,1,0,0,0,0,40,1378,77,1,1,340510,0
128,1372439,1,3034,1,24,104,19,34,1,3,0,1,0,0,64,2522,139,1,2,624836,1
129,1115262,0,3992,1,35,140,32,26,0,6,0,0,0,0,91,3346,159,4,2,834815,1
130,1117205,0,381,0,3,21,0,21,0,1,0,0,0,0,7,281,17,0,0,69125,0
131,1672579,0,5236,2,50,192,38,74,0,6,0,0,0,0,112,4361,198,2,3,1089684,1
132,1217244,1,1034,1,10,37,4,13,0,1,0,0,0,0,22,852,41,1,2,213163,1
133,1719197,0,2031,0,17,64,19,0,0,8,0,0,0,0,48,1720,74,3,0,422614,0
134,1473613,0,849,0,10,30,10,0,0,2,0,0,0,0,17,724,26,1,0,177449,0
135,1982623,0,113,0,2,6,0,4,0,0,0,0,0,0,2,88,5,0,0,21531,0
136,1768591,1,172,0,1,8,0,17,0,0,0,0,0,0,1,133,5,0,0,33902,0
137,1707063,1,727,1,6,35,3,29,0,2,0,0,0,0,16,576,24,1,1,148277,1
138,1804678,1,2013,1,20,79,12,47,0,4,0,0,0,0,48,1635,76,0,1,402515,1
139,1962019,1,94,0,0,5,0,8,0,0,0,0,0,0,4,71,1,0,1,18567,0
140,1575439,0,1606,1,17,68,13,43,0,3,0,0,0,0,36,1280,67,2,1,322765,1
141,1638649,1,780,1,3,33,7,41,0,2,0,0,0,0,16,621,26,0,0,153053,1
142,1484757,1,2400,0,21,77,19,22,1,11,0,1,0,0,55,2005,116,4,1,501892,0
143,1432486,0,9434,1,89,357,83,90,0,18,0,0,0,0,228,7811,387,5,1,1934889,1
144,1530100,1,3079,0,23,112,26,8,0,5,0,0,0,0,74,2583,139,1,1,633811,0
145,1662573,1,2409,2,13,88,20,7,0,5,0,0,0,0,60,2022,99,1,1,500158,1
146,1475274,0,948,0,9,27,7,1,1,4,0,1,0,0,29,791,45,0,0,193179,0
147,1210962,0,1501,0,18,49,11,9,0,0,0,0,0,0,39,1248,65,3,1,316335,0
148,1869533,1,2456,1,17,80,11,19,0,4,0,0,0,0,48,2049,95,4,1,512719,1
149,1971426,0,1136,0,9,47,14,12,1,1,0,1,0,0,24,917,44,1,1,229522,0
150,1358238,1,2206,1,29,94,11,28,1,6,0,1,0,0,38,1817,82,0,2,448713,1
151,1570110,0,2441,1,17,73,31,19,0,4,0,0,0,0,62,2034,102,4,1,494488,1
152,1965678,0,1855,0,20,67,7,29,0,2,0,0,0,0,38,1513,78,4,1,380283,0
153,1339441,1,3413,0,35,120,26,3,0,4,0,0,0,0,73,2870,151,1,1,710764,0
154,1437068,1,5545,1,53,183,55,15,0,5,0,0,0,0,117,4667,224,3,2,1167952,1
155,1293779,1,401,0,5,16,3,3,0,0,0,0,0,0,7,326,21,0,1,81330,0
156,1832754,1,299,0,0,15,0,24,0,0,0,0,0,0,6,224,9,0,0,56101,0
157,1784783,0,711,0,6,26,0,54,0,1,0,0,0,0,14,547,22,0,0,137226,0
158,1892677,0,4750,3,45,180,50,20,0,14,0,0,0,0,104,3949,197,2,4,974039,1
159,1644580,1,4232,2,28,142,35,16,0,11,0,0,0,0,108,3569,176,4,2,888793,1
160,1915287,0,7764,3,60,274,72,33,0,11,0,0,0,0,181,6500,312,6,4,1619290,1
161,1004888,1,2098,0,18,63,25,1,0,4,0,0,0,0,41,1790,88,2,0,440622,0
162,1382400,0,6962,2,64,250,73,32,0,13,0,0,0,0,172,5805,287,11,3,1439320,1
163,1870214,0,3237,0,32,131,18,43,1,6,0,1,0,0,67,2666,127,2,1,665153,0
164,1738211,0,1296,0,11,43,6,38,0,1,0,0,0,0,28,1054,47,0,1,260397,0
165,1417966,1,931,1,6,30,8,2,0,1,0,0,0,0,26,781,37,1,0,191748,1
166,1634691,1,2230,0,16,81,22,5,0,8,0,0,0,0,63,1831,100,4,0,450660,0
167,1930347,1,1170,0,8,40,10,12,0,3,0,0,0,0,22,980,46,3,1,244749,0
168,1858856,0,3265,0,32,124,24,32,0,4,0,0,0,0,68,2740,125,4,1,681979,0
169,1446278,1,2044,0,18,79,14,16,1,4,0,1,0,0,46,1699,74,3,1,416179,0
170,1160258,1,1362,0,11,58,6,23,1,1,0,1,0,0,23,1104,56,2,1,278500,0
171,1900165,0,77,0,2,3,0,5,0,0,0,0,0,0,2,59,4,0,0,14963,0
172,1882682,0,1303,0,9,39,14,21,1,5,0,1,0,0,31,1090,44,0,1,274496,0
173,1359245,0,1153,1,6,53,2,35,0,1,0,0,0,0,23,943,49,2,1,234433,1
174,1050644,0,4571,0,34,162,29,21,0,8,0,0,0,0,100,3847,202,0,1,956044,0
175,1177311,0,1884,2,23,76,15,27,0,3,0,0,0,0,34,1542,79,4,1,385194,1
176,1599556,1,4156,0,17,134,29,4,0,4,0,0,0,0,109,3513,199,2,1,879976,0
177,1195956,1,132,0,2,5,0,10,0,0,0,0,0,0,5,99,5,0,0,24353,0
178,1528396,0,154,0,3,1,1,0,1,1,0,1,0,0,2,141,3,0,0,35038,0
179,1248958,1,1952,1,24,67,12,37,0,5,0,0,0,0,43,1613,80,2,2,405570,1
180,1077017,1,2552,1,15,98,26,30,0,11,0,0,0,0,63,2114,97,2,1,525091,1
181,1334216,1,4138,4,39,168,30,35,1,6,0,1,0,0,80,3404,161,9,3,847641,1
182,1917723,0,2979,0,31,100,21,10,0,6,0,0,0,0,68,2508,129,1,1,620944,0
183,1042567,1,642,0,3,35,0,46,0,1,0,0,0,0,14,483,26,0,0,119445,0
184,1415905,1,279,0,4,17,0,11,0,0,0,0,0,0,9,204,12,1,0,50562,0
185,1102646,0,1454,1,10,44,12,8,0,3,0,0,0,0,28,1213,74,1,1,298396,1
186,1771441,1,3230,0,31,109,31,11,0,7,0,0,0,0,84,2693,140,3,1,676430,0
187,1611320,1,1532,0,7,67,10,58,0,5,0,0,0,0,39,1190,78,3,1,293990,0
188,1486106,1,5246,2,47,194,31,69,0,16,0,0,0,0,124,4336,223,7,2,1085382,1
189,1934241,0,1574,0,15,59,21,2,0,7,0,0,0,0,43,1309,66,0,0,325396,0
190,1998931,1,6622,2,63,242,65,42,0,12,0,0,0,0,151,5514,277,6,3,1362069,1
191,1956083,1,1183,0,12,48,8,5,1,4,0,1,0,0,33,965,53,1,1,239232,0
192,1185691,0,886,2,5,32,5,20,0,2,0,0,0,0,20,713,46,0,2,181050,1
193,1424984,0,403,0,5,12,3,6,0,1,0,0,0,0,10,333,17,1,1,83436,0
194,1688788,0,1204,0,10,39,13,3,1,0,0,1,0,0,23,1020,52,1,1,250648,0
195,1242572,0,763,1,7,33,2,54,0,3,0,0,0,0,20,585,25,0,1,150704,1
196,1321163,1,1901,0,17,61,10,39,0,4,0,0,0,0,59,1555,70,1,1,385256,0
197,1713169,0,929,0,12,37,7,11,0,2,0,0,0,0,25,764,25,3,1,186602,0
198,1207563,0,500,1,3,22,2,6,0,1,0,0,0,0,10,417,15,0,1,105121,1
199,1725011,1,1069,0,9,29,7,6,0,0,0,0,0,0,31,899,42,1,1,222884,0
200,1604150,1,1540,0,16,47,9,3,1,3,0,1,0,0,35,1296,70,1,0,322755,0
201,1802358,1,1670,0,17,51,24,1,0,2,0,0,0,0,44,1408,62,0,0,350312,0
202,1089333,0,2026,1,18,79,16,7,1,0,0,1,0,0,46,1686,94,0,1,417923,1
203,1781717,0,2875,0,22,122,15,46,1,8,0,1,0,0,73,2334,109,0,1,576181,0
204,1607024,0,1334,1,13,46,16,7,1,5,0,1,0,0,24,1117,59,2,2,273488,1
205,1369286,0,163,0,0,13,0,12,0,0,0,0,0,0,3,118,9,0,0,29912,0
206,1102502,1,3489,1,28,129,35,15,0,7,0,0,0,0,87,2885,149,3,1,727092,1
207,1962359,0,1191,0,9,53,9,19,1,1,0,1,0,0,30,975,49,1,1,244207,0
208,1042187,1,512,0,4,24,0,32,0,2,0,0,0,0,12,392,24,0,0,100173,0
209,1145105,0,3166,1,28,118,32,16,0,6,0,0,0,0,75,2629,131,3,0,658735,1
210,1925244,0,348,0,3,20,0,18,0,0,0,0,0,0,7,264,13,0,0,69441,0
211,1627135,0,4268,0,29,125,38,10,0,9,0,0,0,0,96,3622,187,2,1,900358,0
212,1943338,1,3858,1,33,144,39,11,0,7,0,0,0,0,86,3209,142,5,2,796747,1
213,1215486,0,771,0,6,29,8,10,0,1,0,0,0,0,19,627,38,1,1,153276,0
214,1191698,0,2800,0,33,108,22,3,0,2,0,0,0,0,68,2313,115,6,0,562890,0
215,1748906,0,6285,4,60,242,47,116,1,11,0,1,0,0,150,5127,245,0,5,1276932,1
216,1176340,0,3054,0,12,108,38,11,0,5,0,0,0,0,60,2568,134,1,1,635622,0
217,1735440,0,1962,0,19,58,16,37,0,6,0,0,0,0,36,1608,93,1,1,400956,0
218,1764944,1,563,0,7,23,3,30,1,1,0,1,0,0,6,453,17,1,1,113861,0
219,1161333,0,3310,1,23,138,16,50,0,4,0,0,0,0,90,2702,139,2,2,672613,1
220,1549991,1,3306,1,29,128,28,19,0,13,0,0,0,0,79,2724,142,1,1,691062,1
221,1824544,1,185,0,2,6,0,9,0,1,0,0,0,0,6,144,12,0,0,36981,0
222,1115745,0,1127,0,12,43,14,12,1,4,0,1,0,0,30,915,41,1,1,225477,0
223,1799504,0,739,0,3,29,1,12,1,0,0,1,0,0,22,609,31,1,1,151730,0
224,1139920,0,1592,0,6,58,13,28,1,4,0,1,0,0,44,1296,68,2,1,320087,0
225,1745135,1,1405,0,10,68,7,50,0,4,0,0,0,0,23,1132,51,1,1,280425,0
226,1373230,1,4888,2,53,170,36,73,0,12,0,0,0,0,112,4029,191,5,2,1009761,1
227,1404198,0,2755,0,16,73,18,12,0,3,0,0,0,0,76,2320,118,5,1,577998,0
228,1495554,1,2631,1,19,94,18,60,0,2,0,0,0,0,58,2164,112,3,2,534411,1
229,1032556,1,3619,3,29,121,34,51,0,2,0,0,0,0,80,3023,134,2,2,751712,1
230,1782550,1,3214,0,36,111,29,2,0,5,0,0,0,0,59,2695,137,2,0,669835,0
231,1019862,0,3967,0,36,160,35,5,0,12,0,0,0,0,93,3327,167,5,1,833166,0
232,1810112,0,4956,2,39,187,38,90,0,11,0,0,0,0,125,4041,215,6,2,1008087,1
233,1363829,1,200,0,1,11,0,16,0,0,0,0,0,0,6,143,6,0,0,35720,0
234,1390853,1,4415,1,28,147,33,45,0,12,0,0,0,0,99,3706,183,5,1,914200,1
235,1676917,1,571,0,2,17,6,0,1,1,0,1,0,0,18,474,23,0,0,119518,0
236,1399846,0,515,0,4,29,0,28,0,0,0,0,0,0,9,404,13,0,0,98769,0
237,1113721,0,3889,1,29,140,29,35,0,12,0,0,0,0,108,3234,142,2,1,796375,1
238,1903242,1,4707,2,39,166,52,13,0,11,0,0,0,0,113,3923,199,4,2,969617,1
239,1955523,0,1657,1,22,68,6,35,0,3,0,0,0,0,32,1347,57,3,1,337361,1
240,1889683,1,629,0,6,27,2,11,1,3,0,1,0,0,20,495,34,1,1,121021,0
241,1189585,1,403,0,3,11,3,8,1,0,0,1,0,0,5,329,20,1,1,86329,0
242,1717625,0,297,0,3,11,0,24,0,2,0,0,0,0,5,233,13,0,0,58160,0
243,1480148,0,2802,0,23,77,28,7,1,7,0,1,0,0,67,2359,137,4,1,586245,0
244,1426763,1,1304,0,9,50,1,63,0,2,0,0,0,0,19,1028,62,3,1,255883,0
245,1134017,1,1097,1,16,32,6,5,0,5,0,0,0,0,31,905,44,1,1,224000,1
246,1935278,0,1787,0,13,66,20,3,0,1,0,0,0,0,46,1514,59,0,0,377227,0
247,1937008,1,401,0,2,9,0,20,1,1,0,1,0,0,6,330,17,0,1,82775,0
248,1066974,1,5742,1,55,201,46,24,0,13,0,0,0,0,149,4774,260,2,2,1190132,1
249,1962483,0,3543,1,32,126,37,12,0,5,0,0,0,0,69,2958,135,3,2,730646,1
250,1820280,1,2666,0,14,107,26,41,1,5,0,1,0,0,57,2184,101,3,1,543346,0
251,1405116,1,4366,2,33,140,39,44,1,8,0,1,0,0,96,3652,198,6,3,901567,1
252,1135008,0,2178,0,16,69,30,36,1,7,0,1,0,0,46,1809,80,2,1,444606,0
253,1321822,1,2562,0,15,84,11,1,0,8,0,0,0,0,80,2181,98,3,0,543049,0
254,1803557,1,1436,0,10,49,11,0,0,2,0,0,0,0,31,1215,67,0,0,306214,0
255,1084150,1,4924,0,37,151,29,39,1,9,0,1,0,0,110,4145,216,6,1,1035469,0
256,1159603,0,1077,0,8,42,0,68,1,4,0,1,0,0,16,852,40,0,0,209242,0
257,1623670,0,4452,3,36,172,34,28,1,12,0,1,0,0,113,3668,192,0,2,906899,1
258,1754899,0,4717,1,29,183,33,89,0,11,0,0,0,0,108,3823,227,4,2,949753,1
259,1740035,0,1471,1,8,62,6,45,0,3,0,0,0,0,35,1174,66,1,1,295487,1
260,1623012,0,1090,1,12,32,11,16,0,5,0,0,0,0,19,908,43,2,0,221321,1
261,1753982,0,749,0,7,36,7,18,1,1,0,1,0,0,11,603,27,0,1,148980,0
262,1529498,1,922,0,8,26,8,0,1,2,0,1,0,0,28,781,39,2,0,191532,0
263,1681525,1,335,0,4,13,3,1,1,0,0,1,0,0,8,273,13,0,1,71071,0
264,1105845,0,5906,3,46,200,44,73,0,16,0,0,0,0,131,4910,235,5,3,1218597,1
265,1646275,1,6040,3,43,228,36,94,1,14,0,1,0,0,138,4977,246,3,4,1241122,1
266,1457550,0,668,1,7,41,1,27,1,3,0,1,0,0,6,507,19,0,1,124943,1
267,1924677,0,5180,0,30,149,37,2,0,6,0,0,0,0,140,4381,229,5,0,1087325,0
268,1530826,1,2820,0,25,110,26,8,0,5,0,0,0,0,54,2353,119,6,1,585829,0
269,1831475,0,1626,0,18,55,15,20,0,2,0,0,0,0,29,1376,62,2,1,341973,0
270,1502492,0,1735,1,10,59,14,66,0,6,0,0,0,0,38,1404,70,1,1,350870,1
271,1160692,0,3452,0,29,106,37,13,1,5,0,1,0,0,83,2881,159,5,1,712569,0
272,1962915,1,4385,1,37,122,27,47,0,6,0,0,0,0,118,3672,173,2,2,910740,1
273,1197691,0,1007,2,7,36,13,15,1,1,0,1,0,0,24,820,38,1,2,202716,1
274,1732870,1,2518,1,10,107,11,76,1,7,0,1,0,0,59,2026,89,2,2,506331,1
275,1877310,1,3069,1,25,98,31,14,0,6,0,0,0,0,63,2585,123,5,0,646865,1
276,1859443,1,6036,2,55,204,39,54,0,8,0,0,0,0,128,5042,264,5,3,1251613,1
277,1783536,1,4160,1,28,141,36,24,0,5,0,0,0,0,98,3494,189,9,2,865200,1
278,1810363,0,5007,1,38,172,42,33,1,8,0,1,0,0,115,4178,218,9,1,1032607,1
279,1543545,1,1750,0,14,58,17,0,0,2,0,0,0,0,38,1472,63,2,0,366795,0
280,1021910,0,1447,0,11,60,11,13,1,4,0,1,0,0,21,1216,51,1,1,303814,0
281,1370083,1,1009,0,8,33,4,7,0,2,0,0,0,0,25,845,41,1,1,209405,0
282,1876457,0,871,0,5,23,9,4,1,2,0,1,0,0,21,742,31,0,1,184796,0
283,1401012,1,2846,0,24,84,30,8,0,3,0,0,0,0,72,2417,119,1,1,604403,0
